lam,n_raw_clusters,n_valid_clusters,raw_ari,valid_ari,valid_coverage
0.0,18,8,0.4293498256003705,0.4580546847029237,0.9676519799219185
0.1,17,8,0.4538388767343445,0.4889155078741668,0.9598438371444507
0.2,16,10,0.4606769811686311,0.4681737045454322,0.9916341327384273
0.3,14,8,0.4668685430074941,0.514927463191944,0.9403234802007808
0.4,12,10,0.28502996752679305,0.2990934566536146,0.9693251533742331
0.5,11,10,0.2658056901812849,0.273714559385545,0.9821528165086447
0.6,14,13,0.43467109061274206,0.4769650741647352,0.9436698271054099
0.8,14,13,0.27740832417886824,0.2971325246388864,0.954824316787507
1.0,15,13,0.3027454482080432,0.3418725518866279,0.9219185722253207
