radius,n_clusters,ari,coverage
10.0,13,0.4800791078251642,1.0
15.0,14,0.46705896190665763,1.0
20.0,12,0.28078646127277723,1.0
30.0,15,0.2425526993856888,1.0
40.0,35,0.14793331233583187,1.0
50.0,37,0.10489262319580271,1.0
75.0,65,0.06109175410146415,1.0
100.0,73,0.03971119218084261,1.0
